month,monthly_total,prev_month,mom_growth
2006-01-01,1091770.2467999998,NULL,NULL
2006-02-01,2251397.3891000003,1091770.2467999998,1.0621530909995858
2006-03-01,3275934.4961,2251397.3891000003,0.4550672004685766
2006-04-01,2241555.4866,3275934.4961,-0.31575082185905373
2006-05-01,5992356.304400002,2241555.4866,1.6733026865595153
2006-06-01,6589329.741100001,5992356.304400002,0.09962248677730669
2006-07-01,7880779.992,6589329.741100001,0.1959911404713536
2006-08-01,3478698.9275999996,7880779.992,-0.5585844381988427
2006-09-01,3707150.5634999997,3478698.9275999996,0.06567157453249681
2006-10-01,3002188.3079000004,3707150.5634999997,-0.1901628335630451
2006-11-01,2455982.6506999996,3002188.3079000004,-0.18193584185332662
2006-12-01,1939212.9542999999,2455982.6506999996,-0.21041260053392927
2007-01-01,2089843.6712,1939212.9542999999,0.0776762121797879
2007-02-01,2552287.6584,2089843.6712,0.22128161717209313
2007-03-01,4405339.6417000005,2552287.6584,0.7260357104346371
2007-04-01,3925956.6195,4405339.6417000005,-0.10881862947915832
2007-05-01,6746141.7286,3925956.6195,0.7183434210893476
2007-06-01,6953206.6438,6746141.7286,0.030693828195478938
2007-07-01,7511934.5587,6953206.6438,0.08035543074190149
2007-08-01,4936300.635600001,7511934.5587,-0.3428722525433892
2007-09-01,3598192.7889999994,4936300.635600001,-0.2710750307527321
2007-10-01,4216801.937299999,3598192.7889999994,0.17192217998744927
2007-11-01,2905742.7900000005,4216801.937299999,-0.3109131438455619
2007-12-01,2389298.2107,2905742.7900000005,-0.1777323791621626
2008-01-01,2159993.2314999998,2389298.2107,-0.09597168665388997
2008-02-01,2008403.7695000002,2159993.2314999998,-0.0701805263967095
2008-03-01,2054761.9039000003,2008403.7695000002,0.023082078964401235
2008-04-01,5067316.4358,2054761.9039000003,1.4661331447609964
2008-05-01,5961017.330499999,5067316.4358,0.17636571665154094
2008-06-01,7230581.7971,5961017.330499999,0.21297781841770155
2008-07-01,6876580.2216,7230581.7971,-0.04895893379450893
2008-08-01,3026991.4838,6876580.2216,-0.5598115071366536
2008-09-01,2102033.4480999997,3026991.4838,-0.30557008192795904
2008-10-01,1505758.5122000002,2102033.4480999997,-0.2836657696569788
2008-11-01,2640300.9616,1505758.5122000002,0.753469059087282
2008-12-01,1464935.8983,2640300.9616,-0.44516329024390416
2009-01-01,1086343.268,1464935.8983,-0.25843631160881636
2009-02-01,2494450.3792999997,1086343.268,1.296189844203094
2009-03-01,3631377.6971,2494450.3792999997,0.4557826955527768
2009-04-01,3497659.6212,3631377.6971,-0.036822960059149625
2009-05-01,4202706.4434,3497659.6212,0.20157673946503354
2009-06-01,7089597.4651999995,4202706.4434,0.6869123648485183
2009-07-01,6215140.7555,7089597.4651999995,-0.12334363325877923
2009-08-01,4603687.249400001,6215140.7555,-0.2592786824134218
2009-09-01,3788967.7065000003,4603687.249400001,-0.17697108833928352
2009-10-01,2786152.6569,3788967.7065000003,-0.2646670880513614
2009-11-01,2270983.7664,2786152.6569,-0.18490332510107327
2009-12-01,1166287.1241000001,2270983.7664,-0.4864396913110404
2010-01-01,2369226.6576,1166287.1241000001,1.0314265746766977
2010-02-01,1500215.7955999998,2369226.6576,-0.36679093543557306
2010-03-01,3659670.7226,1500215.7955999998,1.439429536293039
2010-04-01,4888551.4548,3659670.7226,0.33578997274567546
2010-05-01,3206045.4252,4888551.4548,-0.344172715610464
2010-06-01,7110018.150700001,3206045.4252,1.2176910204746905
2010-07-01,363995.5695,7110018.150700001,-0.9488052545317112
